,index,pitax_2023,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0
2, 0-10p,"2,151,398","2,151,398","2,414,944","2,790,301","3,441,415","4,068,391","4,629,727","5,250,154","5,937,714"
3, 10-20,"8,145,405","8,145,405","8,909,811","9,994,504","11,867,141","13,663,205","15,268,137","17,040,033","19,002,648"
4, 20-30,"18,545,105","18,545,105","20,161,049","22,454,075","26,524,014","30,681,927","34,558,913","38,994,024","44,086,687"
5, 30-40,"31,937,974","31,937,974","34,983,484","39,698,701","48,481,723","56,964,815","64,545,157","72,914,100","82,183,840"
6, 40-50,"47,391,736","47,391,736","52,351,391","59,389,144","71,539,276","83,192,580","93,605,768","105,102,265","117,836,194"
7, 50-60,"64,620,035","64,620,035","70,989,928","80,028,809","95,633,734","110,600,560","123,974,655","138,740,087","155,094,807"
8, 60-70,"77,302,004","77,302,004","84,710,156","95,222,327","113,370,772","130,777,113","146,331,114","163,503,234","182,523,687"
9, 70-80,"95,088,447","95,088,447","103,952,251","116,529,996","138,244,491","159,071,063","177,681,324","198,227,653","220,985,500"
10, 80-90,"125,018,804","125,018,804","136,332,581","152,386,836","180,103,258","206,686,333","230,440,503","256,665,874","285,714,032"
11, 90-100,"321,551,595","321,551,595","348,960,259","387,853,168","454,998,746","519,398,687","576,945,347","640,478,720","710,850,550"
12, ALL,"79,218,327","79,218,327","86,423,211","96,686,449","114,480,815","131,579,161","146,874,204","163,775,970","182,515,019"
13, 90-95,"184,966,369","184,966,369","201,204,550","224,246,539","264,026,737","302,180,291","336,273,639","373,913,797","415,605,379"
14, 95-99,"324,442,377","324,442,377","352,078,482","391,294,131","458,996,893","523,931,235","581,955,427","646,016,009","716,971,796"
15, Top 1%,"986,631,597","986,631,597","1,068,468,609","1,184,595,375","1,385,079,190","1,577,365,062","1,749,188,350","1,938,886,814","2,149,003,600"
